subjCode,Category,Subcategory1,Subcategory2,firstStimPosition,secondStimPosition,pic1,pic2
aseuae,Bird,hawk,swan,left,right,hawk__1,swan__1
aseuae,Boats,galleon,rowboat,left,right,galleon__n03411339_6447,row__r8
aseuae,Planes,gyroplane,stealth,left,right,gyro__n02759387_10099_obj1,stealth__n04308084_3800_obj1
aseuae,Boats,battleship,icebreaker,right,left,battle__n02812201_334,icebreaker__n03556992_2352
aseuae,Planes,fighter,seaplane,left,right,fighter__n03335030_6845_obj1,seaplane__n04160586_2413_obj1
aseuae,Boats,cruiseliner,sailboat,left,right,cruise__n5,sail__s5
aseuae,Bird,owl,swan,left,right,owl__1,swan__1
aseuae,Dogs,schipperke,welsh,right,left,schipperke__n02104365_683_obj1,welsh__n02112826_13237_obj1
aseuae,Cars,antique,stationwagon,left,right,antique__n03777568_242,wagon__n02814533_211
aseuae,Fish,catfish,needlefish,right,left,catfish__6,aneed__7
aseuae,Dogs,komondor,pug,left,right,komondor__n02105505_46_obj1,pug__n02110958_12692_obj1
aseuae,Dogs,mastiff,welsh,left,right,mastiff__n02108254_10310_obj1,welsh__n02112826_13237_obj1
aseuae,Planes,glider,gyroplane,left,right,glider__n03439814_25312,gyro__n02759387_10099_obj1
aseuae,Planes,airliner,delta,right,left,airliner__a7,delta__n03174079_5496
aseuae,Cars,minivan,racecar,right,left,mvan__n03770679_461,racing__n04037443_232
aseuae,Dogs,pug,welsh,right,left,pug__n02110958_12692_obj1,welsh__n02112826_13237_obj1
aseuae,Boats,canoe,galleon,right,left,canoe__n02951358_2654,galleon__n03411339_6447
aseuae,Trains,commutertrain,subway,right,left,commuter__n03078802_319,subway__n04349306_1553
aseuae,Cats,abyssinian,siamese,left,right,abyss__n02124313_1669,siamese__n02123597_5127
aseuae,Planes,delta,fighter,right,left,delta__n03174079_5496,fighter__n03335030_6845_obj1
aseuae,Cars,mini,sedan,left,right,mini__n03770085_949,sedan__n04166281_739
aseuae,Dogs,komondor,schnauzer,left,right,komondor__n02105505_46_obj1,schnauzer__n02096756_13469_obj1
aseuae,Dogs,pug,schipperke,left,right,pug__n02110958_12692_obj1,schipperke__n02104365_683_obj1
aseuae,Fish,needlefish,sturgeon,right,left,aneed__7,sturgeon__3
aseuae,Planes,delta,gyroplane,right,left,delta__n03174079_5496,gyro__n02759387_10099_obj1
aseuae,Cars,racecar,sedan,right,left,racing__n04037443_232,sedan__n04166281_739
aseuae,Boats,aircraftcarrier,canoe,right,left,carriern02687172_1509,canoe__n02951358_2654
aseuae,Cats,angora,egyptian,right,left,angora__n02123478_2121,egyptian__3
aseuae,Boats,galleon,icebreaker,right,left,galleon__n03411339_6447,icebreaker__n03556992_2352
aseuae,Boats,aircraftcarrier,galleon,left,right,carriern02687172_1509,galleon__n03411339_6447
aseuae,Trains,freighttrain,trolley,left,right,freight__n03394480_883,trolley__n04469813_890
aseuae,Cars,limousine,sportscar,right,left,limo__n03670208_1086,sports__n04285008_312
aseuae,Fish,catfish,pufferfish,left,right,catfish__6,puffer__2
aseuae,Cats,angora,tortishell,right,left,angora__n02123478_2121,tort__n02123242_1310
aseuae,Trains,inclinerailway,trolley,right,left,incline__i16,trolley__n04469813_890
aseuae,Cats,manx,siamese,left,right,manx__6,siamese__n02123597_5127
aseuae,Bird,hen,hummingbird,right,left,hen__1,humming__1
aseuae,Trains,subway,trolley,right,left,subway__n04349306_1553,trolley__n04469813_890
aseuae,Bird,cockateel,hawk,left,right,cockateel__1,hawk__1
aseuae,Trains,inclinerailway,tram,left,right,incline__i16,tram__n04335435_1701
aseuae,Cars,antique,mini,left,right,antique__n03777568_242,mini__n03770085_949
aseuae,Fish,angelfish,clownfish,left,right,angel__2,clown__fish8
aseuae,Bird,hawk,hummingbird,right,left,hawk__1,humming__1
aseuae,Trains,bullettrain,tram,right,left,bullet__n02917067_305,tram__n04335435_1701
aseuae,Trains,subway,tram,left,right,subway__n04349306_1553,tram__n04335435_1701
aseuae,Dogs,chihuahua,malamute,right,left,chihuahua__n02085620_7436_obj1,malamute__n02110063_4103_obj1
aseuae,Dogs,malamute,schipperke,left,right,malamute__n02110063_4103_obj1,schipperke__n02104365_683_obj1
aseuae,Cars,mini,sportscar,right,left,mini__n03770085_949,sports__n04285008_312
aseuae,Cats,abyssinian,angora,left,right,abyss__n02124313_1669,angora__n02123478_2121
aseuae,Cats,manx,tortishell,left,right,manx__6,tort__n02123242_1310
aseuae,Bird,swan,vulture,right,left,swan__1,vulture__2
aseuae,Planes,airliner,gyroplane,right,left,airliner__a7,gyro__n02759387_10099_obj1
aseuae,Trains,monorail,subway,left,right,mono__monorail_dl,subway__n04349306_1553
aseuae,Bird,ostrich,swan,left,right,ost__1,swan__1
aseuae,Boats,icebreaker,rowboat,left,right,icebreaker__n03556992_2352,row__r8
aseuae,Bird,cockateel,ostrich,left,right,cockateel__1,ost__1
aseuae,Planes,airliner,glider,right,left,airliner__a7,glider__n03439814_25312
aseuae,Trains,commutertrain,trolley,left,right,commuter__n03078802_319,trolley__n04469813_890
aseuae,Cars,limousine,stationwagon,left,right,limo__n03670208_1086,wagon__n02814533_211
aseuae,Trains,freighttrain,tram,right,left,freight__n03394480_883,tram__n04335435_1701
aseuae,Boats,battleship,galleon,right,left,battle__n02812201_334,galleon__n03411339_6447
aseuae,Cars,limousine,minivan,left,right,limo__n03670208_1086,mvan__n03770679_461
aseuae,Fish,clownfish,pufferfish,right,left,clown__fish8,puffer__2
aseuae,Trains,inclinerailway,monorail,left,right,incline__i16,mono__monorail_dl
aseuae,Trains,freighttrain,monorail,right,left,freight__n03394480_883,mono__monorail_dl
aseuae,Trains,bullettrain,subway,left,right,bullet__n02917067_305,subway__n04349306_1553
aseuae,Cats,persian,siamese,right,left,persian__n02123394_2274,siamese__n02123597_5127
aseuae,Cars,limousine,sedan,left,right,limo__n03670208_1086,sedan__n04166281_739
aseuae,Planes,biplane,fighter,right,left,biplane__n02842573_5496_obj1,fighter__n03335030_6845_obj1
aseuae,Cars,sportscar,stationwagon,right,left,sports__n04285008_312,wagon__n02814533_211
aseuae,Dogs,chihuahua,schnauzer,left,right,chihuahua__n02085620_7436_obj1,schnauzer__n02096756_13469_obj1
aseuae,Cats,abyssinian,persian,right,left,abyss__n02124313_1669,persian__n02123394_2274
aseuae,Dogs,malamute,welsh,right,left,malamute__n02110063_4103_obj1,welsh__n02112826_13237_obj1
aseuae,Bird,hen,ostrich,right,left,hen__1,ost__1
aseuae,Fish,pufferfish,sturgeon,left,right,puffer__2,sturgeon__3
aseuae,Planes,biplane,glider,left,right,biplane__n02842573_5496_obj1,glider__n03439814_25312
aseuae,Trains,bullettrain,monorail,left,right,bullet__n02917067_305,mono__monorail_dl
aseuae,Trains,freighttrain,inclinerailway,right,left,freight__n03394480_883,incline__i16
aseuae,Bird,hawk,owl,right,left,hawk__1,owl__1
aseuae,Cars,sedan,sportscar,right,left,sedan__n04166281_739,sports__n04285008_312
aseuae,Boats,canoe,rowboat,right,left,canoe__n02951358_2654,row__r8
aseuae,Fish,catfish,clownfish,right,left,catfish__6,clown__fish8
