subjCode,Category,Subcategory1,Subcategory2,firstStimPosition,secondStimPosition,pic1,pic2
subjCode,Dogs,pug,schnauzer,left,right,pug__n02110958_14310_obj1,schnauzer__n02096756_11236_obj1
subjCode,Boats,aircraftcarrier,canoe,right,left,carriern02687172_1960,canoe__n02951358_3427
subjCode,Boats,aircraftcarrier,icebreaker,left,right,carriern02687172_1960,icebreaker__n03556992_2857
subjCode,Trains,bullettrain,tram,right,left,bullet__n02917067_281,tram__n04335435_1691
subjCode,Dogs,chihuahua,schipperke,left,right,chihuahua__n02085620_566_obj1,schipperke__n02104365_712_obj1
subjCode,Boats,galleon,rowboat,right,left,galleon__n03411339_770,row__r2
subjCode,Cats,manx,persian,left,right,manx__3,persian__n02123394_2143
subjCode,Cats,egyptian,siamese,left,right,egyptian__n02124075_5349,siamese__n02123597_1673
subjCode,Cats,manx,siamese,right,left,manx__3,siamese__n02123597_1673
subjCode,Bird,hawk,swan,left,right,hawk__5,swan__n01858441_8923
subjCode,Bird,hummingbird,ostrich,right,left,humming__n01833805_592,ost__n01518878_8812
subjCode,Cars,mini,sportscar,left,right,mini__n03770085_951,sports__n04285008_392
subjCode,Planes,seaplane,stealth,right,left,seaplane__n04160586_22359_obj1,stealth__n04308084_3578_obj1
subjCode,Bird,hawk,hummingbird,left,right,hawk__5,humming__n01833805_592
subjCode,Fish,clownfish,needlefish,right,left,clown__fish6,aneed__10
subjCode,Boats,canoe,rowboat,left,right,canoe__n02951358_3427,row__r2
subjCode,Fish,angelfish,sturgeon,right,left,angel__n02605936_250,sturgeon__7
subjCode,Bird,cockateel,ostrich,right,left,cockateel__n01819734_10081,ost__n01518878_8812
subjCode,Trains,commutertrain,monorail,left,right,commuter__n03078802_288,mono__m4
subjCode,Planes,biplane,gyroplane,left,right,biplane__n02842573_3818_obj1,gyro__n02759387_17633_obj1
subjCode,Dogs,mastiff,welsh,right,left,mastiff__n02108254_133_obj1,welsh__n02112826_477_obj1
subjCode,Planes,airliner,gyroplane,left,right,airliner__n02690373_8843_obj1,gyro__n02759387_17633_obj1
subjCode,Planes,biplane,stealth,right,left,biplane__n02842573_3818_obj1,stealth__n04308084_3578_obj1
subjCode,Boats,aircraftcarrier,galleon,left,right,carriern02687172_1960,galleon__n03411339_770
subjCode,Cats,persian,tortishell,right,left,persian__n02123394_2143,tort__n02123242_6881
subjCode,Dogs,chihuahua,schnauzer,right,left,chihuahua__n02085620_566_obj1,schnauzer__n02096756_11236_obj1
subjCode,Planes,fighter,glider,left,right,fighter__n03335030_4289_obj1,glider__nglider__2
subjCode,Cats,manx,tortishell,right,left,manx__3,tort__n02123242_6881
subjCode,Boats,icebreaker,rowboat,right,left,icebreaker__n03556992_2857,row__r2
subjCode,Cars,minivan,stationwagon,left,right,mvan__n03770679_505,wagon__n02814533_248
subjCode,Bird,hummingbird,owl,left,right,humming__n01833805_592,owl__n01625562_9999
subjCode,Cats,egyptian,persian,right,left,egyptian__n02124075_5349,persian__n02123394_2143
subjCode,Planes,gyroplane,stealth,left,right,gyro__n02759387_17633_obj1,stealth__n04308084_3578_obj1
subjCode,Planes,biplane,delta,left,right,biplane__n02842573_3818_obj1,delta__ndelta__2
subjCode,Fish,catfish,pufferfish,right,left,catfish__9,puffer__5
subjCode,Cars,mini,stationwagon,right,left,mini__n03770085_951,wagon__n02814533_248
subjCode,Bird,hawk,owl,right,left,hawk__5,owl__n01625562_9999
subjCode,Cars,racecar,stationwagon,left,right,racing__n04037443_233,wagon__n02814533_248
subjCode,Dogs,malamute,mastiff,right,left,malamute__n02110063_4873_obj1,mastiff__n02108254_133_obj1
