subjCode,Category,Subcategory1,Subcategory2,firstStimPosition,secondStimPosition,pic1,pic2
subjCodes,Cars,limousine,sportscar,right,left,limo__n03670208_745,sports__n04285008_39
subjCodes,Planes,biplane,fighter,right,left,biplane__n02842573_14961_obj1,fighter__a2
subjCodes,Planes,biplane,delta,left,right,biplane__n02842573_14961_obj1,delta__n03174079_4062
subjCodes,Boats,icebreaker,rowboat,right,left,icebreaker__i3,row__n03199901_9609
subjCodes,Trains,freighttrain,monorail,left,right,freight__n03394480_943,mono__las-vegas-monorail5
subjCodes,Boats,battleship,canoe,right,left,battle__b2,canoe__c2
subjCodes,Cars,mini,stationwagon,right,left,mini__n03770085_530,wagon__n02814533_80
subjCodes,Fish,goldfish,pufferfish,left,right,gold__n01443537_522,puffer__n02655020_696
subjCodes,Boats,aircraftcarrier,sailboat,left,right,carriern02687172_1414,sail__n04128499_504
subjCodes,Fish,clownfish,sturgeon,left,right,clown__fish3,sturgeon__n02640242_999
subjCodes,Cats,persian,siamese,right,left,persian__n02123394_2124,siamese__n02123597_1516
subjCodes,Planes,airliner,delta,right,left,airliner__a2,delta__n03174079_4062
subjCodes,Cars,limousine,racecar,right,left,limo__n03670208_745,racing__n04037443_63
subjCodes,Dogs,malamute,schipperke,left,right,malamute__n02110063_7911_obj1,schipperke__n02104365_5740_obj1
subjCodes,Trains,bullettrain,monorail,right,left,bullet__n02917067_71,mono__las-vegas-monorail5
subjCodes,Cats,abyssinian,persian,left,right,abyss__n02124313_1541,persian__n02123394_2124
subjCodes,Bird,cockateel,owl,left,right,cockateel__n01819734_14496,owl__n01625562_3276
subjCodes,Fish,flyingfish,sturgeon,right,left,flying__n02550460_5072,sturgeon__n02640242_999
subjCodes,Planes,airliner,fighter,left,right,airliner__a2,fighter__a2
subjCodes,Cars,sedan,sportscar,right,left,sedan__n04166281_374,sports__n04285008_39
subjCodes,Bird,hawk,hen,left,right,hawk__n01605630_974,hen__n01514859_3197
subjCodes,Cats,manx,persian,left,right,manx__2,persian__n02123394_2124
subjCodes,Bird,ostrich,owl,left,right,ost__n01518878_1963,owl__n01625562_3276
subjCodes,Trains,inclinerailway,tram,right,left,incline__Chattanooga-incline__-Railway-630x420,tram__n04335435_1207
subjCodes,Bird,hawk,ostrich,right,left,hawk__n01605630_974,ost__n01518878_1963
subjCodes,Fish,catfish,clownfish,right,left,catfish__n02517442_214,clown__fish3
subjCodes,Boats,battleship,sailboat,right,left,battle__b2,sail__n04128499_504
subjCodes,Fish,catfish,pufferfish,right,left,catfish__n02517442_214,puffer__n02655020_696
subjCodes,Trains,monorail,tram,left,right,mono__las-vegas-monorail5,tram__n04335435_1207
subjCodes,Planes,delta,stealth,right,left,delta__n03174079_4062,stealth__a13
subjCodes,Cats,angora,manx,right,left,angora__n02123478_5473,manx__2
subjCodes,Bird,hawk,vulture,right,left,hawk__n01605630_974,vulture__n01616318_5256
subjCodes,Dogs,chihuahua,komondor,left,right,chihuahua__n02085620_1558_obj1,komondor__n02105505_1090_obj1
subjCodes,Cats,egyptian,manx,left,right,egyptian__n02124075_5067,manx__2
subjCodes,Cats,abyssinian,siamese,right,left,abyss__n02124313_1541,siamese__n02123597_1516
subjCodes,Dogs,chihuahua,welsh,left,right,chihuahua__n02085620_1558_obj1,welsh__n02112826_1378_obj1
subjCodes,Cars,sedan,stationwagon,left,right,sedan__n04166281_374,wagon__n02814533_80
subjCodes,Planes,fighter,stealth,right,left,fighter__a2,stealth__a13
subjCodes,Bird,cockateel,swan,right,left,cockateel__n01819734_14496,swan__n01858441_679
subjCodes,Boats,rowboat,sailboat,right,left,row__n03199901_9609,sail__n04128499_504
subjCodes,Dogs,pug,schnauzer,right,left,pug__n02110958_589_obj1,schnauzer__n02096756_11739_obj1
subjCodes,Fish,clownfish,pufferfish,right,left,clown__fish3,puffer__n02655020_696
subjCodes,Planes,delta,fighter,left,right,delta__n03174079_4062,fighter__a2
subjCodes,Fish,flyingfish,goldfish,left,right,flying__n02550460_5072,gold__n01443537_522
subjCodes,Planes,biplane,stealth,right,left,biplane__n02842573_14961_obj1,stealth__a13
