subjCode,Category,Subcategory1,Subcategory2,firstStimPosition,secondStimPosition,pic1,pic2
testConsent2,Fish,catfish,pufferfish,right,left,catfish__4,puffer__n02655020_438
testConsent2,Cats,angora,sphynx,left,right,angora__n02123478_6579,spyhnx__2
testConsent2,Bird,hawk,owl,right,left,hawk__1,owl__1
testConsent2,Cats,manx,sphynx,left,right,manx__11,spyhnx__2
testConsent2,Fish,catfish,sturgeon,right,left,catfish__4,sturgeon__n02640242_2132
testConsent2,Planes,biplane,fighter,right,left,biplane__n02842573_10749_obj1,fighter__n03335030_18156_obj1
testConsent2,Dogs,pug,welsh,right,left,pug__n02110958_15449_obj1,welsh__n02112826_1060_obj1
testConsent2,Bird,hen,owl,left,right,hen__1,owl__1
testConsent2,Trains,commutertrain,freighttrain,right,left,commuter__n03078802_388,freight__n03394480_104
testConsent2,Cats,siamese,tortishell,left,right,siamese__n02123597_6398,tort__n02123242_1137
testConsent2,Cats,abyssinian,siamese,left,right,abyss__n02124313_1141,siamese__n02123597_6398
testConsent2,Dogs,malamute,pug,right,left,malamute__n02110063_5828_obj1,pug__n02110958_15449_obj1
testConsent2,Trains,monorail,tram,right,left,mono__monorail-red,tram__n04335435_209
testConsent2,Bird,hummingbird,swan,left,right,humming__1,swan__1
testConsent2,Bird,cockateel,hen,right,left,cockateel__1,hen__1
testConsent2,Cats,abyssinian,angora,right,left,abyss__n02124313_1141,angora__n02123478_6579
testConsent2,Boats,rowboat,sailboat,right,left,row__r9,sail__s2
testConsent2,Cats,angora,persian,right,left,angora__n02123478_6579,persian__n02123394_1036
testConsent2,Bird,cockateel,hummingbird,right,left,cockateel__1,humming__1
testConsent2,Planes,fighter,seaplane,left,right,fighter__n03335030_18156_obj1,seaplane__n04160586_7237_obj1
testConsent2,Cats,manx,siamese,left,right,manx__11,siamese__n02123597_6398
testConsent2,Fish,clownfish,pufferfish,left,right,clown__fish300a,puffer__n02655020_438
testConsent2,Dogs,chihuahua,pug,right,left,chihuahua__n02085620_242_obj1,pug__n02110958_15449_obj1
testConsent2,Bird,hen,vulture,left,right,hen__1,vulture__2
testConsent2,Cars,sedan,stationwagon,left,right,sedan__n04166281_104,wagon__n02814533_705
testConsent2,Trains,inclinerailway,monorail,left,right,incline__INCLINE1,mono__monorail-red
testConsent2,Trains,commutertrain,subway,left,right,commuter__n03078802_388,subway__n04349306_532
testConsent2,Trains,freighttrain,monorail,left,right,freight__n03394480_104,mono__monorail-red
testConsent2,Cars,limousine,minivan,right,left,limo__n03670208_182,mvan__n03770679_122
testConsent2,Bird,owl,vulture,right,left,owl__1,vulture__2
testConsent2,Dogs,komondor,mastiff,left,right,komondor__n02105505_946_obj1,mastiff__n02108254_10947_obj1
testConsent2,Fish,angelfish,flyingfish,left,right,angel__n02605936_733,flying__n02550460_2362
testConsent2,Cars,minivan,stationwagon,right,left,mvan__n03770679_122,wagon__n02814533_705
testConsent2,Bird,hawk,hen,right,left,hawk__1,hen__1
testConsent2,Boats,aircraftcarrier,icebreaker,right,left,carriern02687172_2042,icebreaker__n03556992_1842
testConsent2,Bird,swan,vulture,left,right,swan__1,vulture__2
testConsent2,Trains,freighttrain,subway,right,left,freight__n03394480_104,subway__n04349306_532
testConsent2,Dogs,komondor,malamute,left,right,komondor__n02105505_946_obj1,malamute__n02110063_5828_obj1
testConsent2,Fish,catfish,needlefish,left,right,catfish__4,aneed__5
testConsent2,Boats,battleship,sailboat,right,left,battle__n02812201_690,sail__s2
testConsent2,Planes,biplane,delta,right,left,biplane__n02842573_10749_obj1,delta__n03174079_7871
testConsent2,Trains,commutertrain,trolley,left,right,commuter__n03078802_388,trolley__n04469813_1062
testConsent2,Dogs,malamute,schipperke,left,right,malamute__n02110063_5828_obj1,schipperke__n02104365_4747_obj1
testConsent2,Cats,sphynx,tortishell,right,left,spyhnx__2,tort__n02123242_1137
testConsent2,Boats,aircraftcarrier,rowboat,left,right,carriern02687172_2042,row__r9
testConsent2,Cars,minivan,racecar,left,right,mvan__n03770679_122,racing__n04037443_390
testConsent2,Cars,antique,mini,left,right,antique__n03777568_24,minin03770085_185
testConsent2,Trains,freighttrain,tram,right,left,freight__n03394480_104,tram__n04335435_209
testConsent2,Planes,biplane,glider,left,right,biplane__n02842573_10749_obj1,glider__n03439814_9066
testConsent2,Cars,antique,limousine,right,left,antique__n03777568_24,limo__n03670208_182
testConsent2,Dogs,malamute,mastiff,left,right,malamute__n02110063_5828_obj1,mastiff__n02108254_10947_obj1
testConsent2,Dogs,schipperke,welsh,right,left,schipperke__n02104365_4747_obj1,welsh__n02112826_1060_obj1
testConsent2,Cars,limousine,sedan,right,left,limo__n03670208_182,sedan__n04166281_104
testConsent2,Cars,sportscar,stationwagon,right,left,sports__n04285008_744,wagon__n02814533_705
testConsent2,Trains,commutertrain,monorail,left,right,commuter__n03078802_388,mono__monorail-red
testConsent2,Cars,minivan,sportscar,left,right,mvan__n03770679_122,sports__n04285008_744
testConsent2,Cars,limousine,stationwagon,left,right,limo__n03670208_182,wagon__n02814533_705
testConsent2,Planes,glider,seaplane,right,left,glider__n03439814_9066,seaplane__n04160586_7237_obj1
testConsent2,Boats,canoe,icebreaker,left,right,canoe__n02951358_1800,icebreaker__n03556992_1842
testConsent2,Trains,commutertrain,inclinerailway,right,left,commuter__n03078802_388,incline__INCLINE1
testConsent2,Bird,hawk,ostrich,right,left,hawk__1,ost__1
testConsent2,Dogs,mastiff,schnauzer,left,right,mastiff__n02108254_10947_obj1,schnauzer__n02096756_11503_obj1
testConsent2,Cats,egyptian,sphynx,right,left,egyptian__n02124075_2080,spyhnx__2
testConsent2,Dogs,chihuahua,komondor,left,right,chihuahua__n02085620_242_obj1,komondor__n02105505_946_obj1
testConsent2,Cars,antique,sportscar,left,right,antique__n03777568_24,sports__n04285008_744
testConsent2,Bird,cockateel,ostrich,left,right,cockateel__1,ost__1
testConsent2,Trains,commutertrain,tram,right,left,commuter__n03078802_388,tram__n04335435_209
testConsent2,Bird,ostrich,swan,left,right,ost__1,swan__1
testConsent2,Planes,delta,gyroplane,right,left,delta__n03174079_7871,gyro__n02759387_16553_obj1
testConsent2,Cats,angora,manx,left,right,angora__n02123478_6579,manx__11
testConsent2,Planes,gyroplane,seaplane,right,left,gyro__n02759387_16553_obj1,seaplane__n04160586_7237_obj1
testConsent2,Trains,bullettrain,trolley,left,right,bullet__n02917067_314,trolley__n04469813_1062
testConsent2,Bird,ostrich,vulture,right,left,ost__1,vulture__2
testConsent2,Trains,bullettrain,tram,right,left,bullet__n02917067_314,tram__n04335435_209
testConsent2,Fish,goldfish,pufferfish,left,right,gold__n01443537_395,puffer__n02655020_438
testConsent2,Dogs,komondor,schnauzer,right,left,komondor__n02105505_946_obj1,schnauzer__n02096756_11503_obj1
testConsent2,Boats,battleship,cruiseliner,left,right,battle__n02812201_690,cruise__n3
testConsent2,Dogs,pug,schipperke,right,left,pug__n02110958_15449_obj1,schipperke__n02104365_4747_obj1
testConsent2,Fish,clownfish,needlefish,right,left,clown__fish300a,aneed__5
testConsent2,Bird,hen,ostrich,right,left,hen__1,ost__1
testConsent2,Boats,aircraftcarrier,canoe,right,left,carriern02687172_2042,canoe__n02951358_1800
testConsent2,Cats,abyssinian,tortishell,right,left,abyss__n02124313_1141,tort__n02123242_1137
testConsent2,Dogs,mastiff,pug,left,right,mastiff__n02108254_10947_obj1,pug__n02110958_15449_obj1
testConsent2,Boats,galleon,sailboat,right,left,galleon__g2,sail__s2
testConsent2,Fish,angelfish,clownfish,left,right,angel__n02605936_733,clown__fish300a
testConsent2,Fish,flyingfish,needlefish,right,left,flying__n02550460_2362,aneed__5
testConsent2,Fish,clownfish,sturgeon,right,left,clown__fish300a,sturgeon__n02640242_2132
testConsent2,Cars,antique,sedan,right,left,antique__n03777568_24,sedan__n04166281_104
testConsent2,Boats,galleon,rowboat,left,right,galleon__g2,row__r9
testConsent2,Trains,bullettrain,freighttrain,right,left,bullet__n02917067_314,freight__n03394480_104
testConsent2,Cars,sedan,sportscar,left,right,sedan__n04166281_104,sports__n04285008_744
testConsent2,Bird,hummingbird,ostrich,right,left,humming__1,ost__1
testConsent2,Boats,canoe,galleon,right,left,canoe__n02951358_1800,galleon__g2
testConsent2,Boats,battleship,rowboat,left,right,battle__n02812201_690,row__r9
testConsent2,Fish,angelfish,pufferfish,left,right,angel__n02605936_733,puffer__n02655020_438
testConsent2,Bird,owl,swan,left,right,owl__1,swan__1
testConsent2,Dogs,schnauzer,welsh,left,right,schnauzer__n02096756_11503_obj1,welsh__n02112826_1060_obj1
testConsent2,Fish,goldfish,needlefish,right,left,gold__n01443537_395,aneed__5
testConsent2,Fish,needlefish,sturgeon,left,right,aneed__5,sturgeon__n02640242_2132
testConsent2,Cars,racecar,sportscar,right,left,racing__n04037443_390,sports__n04285008_744
testConsent2,Cars,antique,stationwagon,right,left,antique__n03777568_24,wagon__n02814533_705
testConsent2,Cats,persian,sphynx,right,left,persian__n02123394_1036,spyhnx__2
testConsent2,Fish,flyingfish,goldfish,left,right,flying__n02550460_2362,gold__n01443537_395
testConsent2,Planes,seaplane,stealth,left,right,seaplane__n04160586_7237_obj1,stealth__n04308084_652_obj1
testConsent2,Bird,cockateel,swan,left,right,cockateel__1,swan__1
testConsent2,Bird,cockateel,vulture,left,right,cockateel__1,vulture__2
testConsent2,Cars,limousine,racecar,left,right,limo__n03670208_182,racing__n04037443_390
testConsent2,Boats,cruiseliner,rowboat,right,left,cruise__n3,row__r9
testConsent2,Trains,freighttrain,inclinerailway,right,left,freight__n03394480_104,incline__INCLINE1
testConsent2,Fish,catfish,goldfish,left,right,catfish__4,gold__n01443537_395
testConsent2,Cats,abyssinian,sphynx,right,left,abyss__n02124313_1141,spyhnx__2
testConsent2,Dogs,chihuahua,mastiff,left,right,chihuahua__n02085620_242_obj1,mastiff__n02108254_10947_obj1
testConsent2,Fish,angelfish,needlefish,right,left,angel__n02605936_733,aneed__5
testConsent2,Cars,mini,stationwagon,right,left,minin03770085_185,wagon__n02814533_705
testConsent2,Planes,airliner,gyroplane,right,left,airliner__n02690373_4946_obj1,gyro__n02759387_16553_obj1
testConsent2,Boats,icebreaker,rowboat,left,right,icebreaker__n03556992_1842,row__r9
testConsent2,Fish,needlefish,pufferfish,right,left,aneed__5,puffer__n02655020_438
testConsent2,Boats,galleon,icebreaker,right,left,galleon__g2,icebreaker__n03556992_1842
testConsent2,Dogs,chihuahua,schipperke,left,right,chihuahua__n02085620_242_obj1,schipperke__n02104365_4747_obj1
testConsent2,Planes,delta,seaplane,left,right,delta__n03174079_7871,seaplane__n04160586_7237_obj1
testConsent2,Planes,glider,gyroplane,left,right,glider__n03439814_9066,gyro__n02759387_16553_obj1
testConsent2,Boats,canoe,cruiseliner,left,right,canoe__n02951358_1800,cruise__n3
testConsent2,Planes,fighter,glider,right,left,fighter__n03335030_18156_obj1,glider__n03439814_9066
testConsent2,Dogs,komondor,pug,right,left,komondor__n02105505_946_obj1,pug__n02110958_15449_obj1
testConsent2,Cars,limousine,sportscar,left,right,limo__n03670208_182,sports__n04285008_744
testConsent2,Boats,icebreaker,sailboat,left,right,icebreaker__n03556992_1842,sail__s2
testConsent2,Dogs,mastiff,schipperke,right,left,mastiff__n02108254_10947_obj1,schipperke__n02104365_4747_obj1
testConsent2,Trains,bullettrain,commutertrain,left,right,bullet__n02917067_314,commuter__n03078802_388
testConsent2,Dogs,mastiff,welsh,right,left,mastiff__n02108254_10947_obj1,welsh__n02112826_1060_obj1
testConsent2,Fish,goldfish,sturgeon,left,right,gold__n01443537_395,sturgeon__n02640242_2132
testConsent2,Cats,egyptian,siamese,right,left,egyptian__n02124075_2080,siamese__n02123597_6398
testConsent2,Bird,hen,hummingbird,right,left,hen__1,humming__1
testConsent2,Dogs,chihuahua,welsh,right,left,chihuahua__n02085620_242_obj1,welsh__n02112826_1060_obj1
testConsent2,Dogs,malamute,schnauzer,right,left,malamute__n02110063_5828_obj1,schnauzer__n02096756_11503_obj1
testConsent2,Trains,monorail,trolley,right,left,mono__monorail-red,trolley__n04469813_1062
testConsent2,Cars,mini,sedan,right,left,minin03770085_185,sedan__n04166281_104
testConsent2,Cars,minivan,sedan,right,left,mvan__n03770679_122,sedan__n04166281_104
testConsent2,Cats,persian,siamese,left,right,persian__n02123394_1036,siamese__n02123597_6398
testConsent2,Planes,airliner,seaplane,left,right,airliner__n02690373_4946_obj1,seaplane__n04160586_7237_obj1
testConsent2,Cars,antique,minivan,left,right,antique__n03777568_24,mvan__n03770679_122
testConsent2,Dogs,komondor,welsh,right,left,komondor__n02105505_946_obj1,welsh__n02112826_1060_obj1
testConsent2,Planes,airliner,delta,right,left,airliner__n02690373_4946_obj1,delta__n03174079_7871
testConsent2,Planes,biplane,stealth,left,right,biplane__n02842573_10749_obj1,stealth__n04308084_652_obj1
testConsent2,Bird,cockateel,owl,right,left,cockateel__1,owl__1
testConsent2,Bird,cockateel,hawk,left,right,cockateel__1,hawk__1
testConsent2,Planes,airliner,biplane,left,right,airliner__n02690373_4946_obj1,biplane__n02842573_10749_obj1
testConsent2,Planes,delta,fighter,right,left,delta__n03174079_7871,fighter__n03335030_18156_obj1
testConsent2,Dogs,schipperke,schnauzer,left,right,schipperke__n02104365_4747_obj1,schnauzer__n02096756_11503_obj1
testConsent2,Cats,abyssinian,egyptian,left,right,abyss__n02124313_1141,egyptian__n02124075_2080
