subjCode,Category,Subcategory1,Subcategory2,firstStimPosition,secondStimPosition,pic1,pic2
testConsent,Trains,bullettrain,inclinerailway,left,right,bullet__n02917067_513,incline__loookout-mt
testConsent,Cars,sedan,stationwagon,right,left,sedan__n04166281_73,wagon__n02814533_330
testConsent,Dogs,schipperke,schnauzer,right,left,schipperke__n02104365_683_obj1,schnauzer__n02096756_13469_obj1
testConsent,Trains,commutertrain,freighttrain,right,left,commuter__n03078802_567,freight__n03394480_398
testConsent,Fish,angelfish,flyingfish,left,right,angel__1,flying__1
testConsent,Bird,hawk,ostrich,right,left,hawk__n01605630_6816,ost__8
testConsent,Boats,aircraftcarrier,cruiseliner,right,left,carriern02687172_1204,cruise__n10
testConsent,Fish,goldfish,sturgeon,left,right,gold__1,sturgeon__1
testConsent,Bird,hen,vulture,right,left,hen__n01514859_195,vulture__n01616318_2501
testConsent,Cars,racecar,stationwagon,right,left,racing__n04037443_297,wagon__n02814533_330
testConsent,Trains,freighttrain,trolley,left,right,freight__n03394480_398,trolley__t1
testConsent,Planes,airliner,delta,left,right,airliner__a2,delta__n03174079_4062
testConsent,Dogs,chihuahua,schnauzer,left,right,chihuahua__n02085620_7436_obj1,schnauzer__n02096756_13469_obj1
testConsent,Dogs,malamute,welsh,left,right,malamute__n02110063_4103_obj1,welsh__n02112826_13237_obj1
testConsent,Planes,delta,gyroplane,left,right,delta__n03174079_4062,gyro__n02759387_17666_obj1
testConsent,Cars,antique,mini,right,left,antique__n03777568_465,minin03770085_184
testConsent,Fish,angelfish,catfish,right,left,angel__1,catfish__1
testConsent,Boats,cruiseliner,sailboat,left,right,cruise__n10,sail__s11
testConsent,Dogs,mastiff,pug,left,right,mastiff__n02108254_10310_obj1,pug__n02110958_12692_obj1
testConsent,Fish,angelfish,goldfish,right,left,angel__1,gold__1
testConsent,Boats,battleship,sailboat,right,left,battle__n02812201_1695,sail__s11
testConsent,Trains,bullettrain,monorail,right,left,bullet__n02917067_513,mono__monorail3
testConsent,Cars,mini,minivan,left,right,minin03770085_184,mvan__n03770679_59
testConsent,Dogs,malamute,schnauzer,right,left,malamute__n02110063_4103_obj1,schnauzer__n02096756_13469_obj1
testConsent,Boats,galleon,sailboat,right,left,galleon__n03411339_6119,sail__s11
testConsent,Trains,bullettrain,trolley,left,right,bullet__n02917067_513,trolley__t1
testConsent,Bird,cockateel,swan,right,left,cockateel__n01819734_12942,swan__7
testConsent,Dogs,komondor,welsh,left,right,komondor__n02105505_46_obj1,welsh__n02112826_13237_obj1
testConsent,Cats,abyssinian,manx,left,right,abyss__n02124313_595,manx__n02124484_1766
testConsent,Cars,antique,sedan,right,left,antique__n03777568_465,sedan__n04166281_73
testConsent,Trains,monorail,trolley,left,right,mono__monorail3,trolley__t1
testConsent,Fish,angelfish,pufferfish,right,left,angel__1,puffer__1
testConsent,Fish,catfish,flyingfish,left,right,catfish__1,flying__1
testConsent,Dogs,malamute,pug,left,right,malamute__n02110063_4103_obj1,pug__n02110958_12692_obj1
testConsent,Dogs,pug,schnauzer,left,right,pug__n02110958_12692_obj1,schnauzer__n02096756_13469_obj1
testConsent,Cars,minivan,sportscar,right,left,mvan__n03770679_59,sports__n04285008_573
testConsent,Cars,limousine,sportscar,left,right,limo__n03670208_78,sports__n04285008_573
testConsent,Planes,fighter,stealth,right,left,fighter__a2,stealth__a13
testConsent,Bird,ostrich,swan,right,left,ost__8,swan__7
testConsent,Trains,freighttrain,tram,right,left,freight__n03394480_398,tram__n04335435_329
testConsent,Planes,glider,seaplane,right,left,glider__n03439814_16594,seaplane__n04160586_21255_obj1
testConsent,Cats,egyptian,sphynx,right,left,egyptian__n02124075_10694,spyhnx__hairless
testConsent,Bird,cockateel,vulture,left,right,cockateel__n01819734_12942,vulture__n01616318_2501
testConsent,Planes,delta,glider,right,left,delta__n03174079_4062,glider__n03439814_16594
testConsent,Trains,freighttrain,subway,right,left,freight__n03394480_398,subway__n04349306_343
testConsent,Cats,abyssinian,angora,left,right,abyss__n02124313_595,angora__n02123478_12328
testConsent,Cars,minivan,racecar,right,left,mvan__n03770679_59,racing__n04037443_297
testConsent,Planes,glider,stealth,right,left,glider__n03439814_16594,stealth__a13
testConsent,Boats,cruiseliner,rowboat,right,left,cruise__n10,row__r5
testConsent,Cars,limousine,mini,right,left,limo__n03670208_78,minin03770085_184
testConsent,Cats,siamese,tortishell,left,right,siamese__n02123597_4931,tort__n02123242_1192
testConsent,Boats,aircraftcarrier,icebreaker,right,left,carriern02687172_1204,icebreaker__n03556992_1963
testConsent,Bird,hummingbird,ostrich,right,left,humming__n01833805_2650,ost__8
testConsent,Fish,pufferfish,sturgeon,right,left,puffer__1,sturgeon__1
testConsent,Dogs,chihuahua,welsh,left,right,chihuahua__n02085620_7436_obj1,welsh__n02112826_13237_obj1
testConsent,Cars,antique,stationwagon,left,right,antique__n03777568_465,wagon__n02814533_330
testConsent,Boats,icebreaker,sailboat,left,right,icebreaker__n03556992_1963,sail__s11
testConsent,Boats,aircraftcarrier,battleship,right,left,carriern02687172_1204,battle__n02812201_1695
testConsent,Bird,hen,hummingbird,left,right,hen__n01514859_195,humming__n01833805_2650
testConsent,Bird,owl,vulture,right,left,owl__n01625562_887,vulture__n01616318_2501
testConsent,Planes,airliner,stealth,right,left,airliner__a2,stealth__a13
testConsent,Boats,aircraftcarrier,rowboat,left,right,carriern02687172_1204,row__r5
testConsent,Cats,persian,tortishell,left,right,persian__n02123394_2709,tort__n02123242_1192
testConsent,Dogs,chihuahua,schipperke,right,left,chihuahua__n02085620_7436_obj1,schipperke__n02104365_683_obj1
testConsent,Cars,racecar,sedan,left,right,racing__n04037443_297,sedan__n04166281_73
testConsent,Planes,biplane,seaplane,left,right,biplane__n02842573_14961_obj1,seaplane__n04160586_21255_obj1
testConsent,Trains,commutertrain,trolley,right,left,commuter__n03078802_567,trolley__t1
testConsent,Boats,canoe,galleon,right,left,canoe__n02951358_537,galleon__n03411339_6119
testConsent,Boats,galleon,icebreaker,left,right,galleon__n03411339_6119,icebreaker__n03556992_1963
testConsent,Trains,commutertrain,tram,left,right,commuter__n03078802_567,tram__n04335435_329
testConsent,Boats,canoe,sailboat,right,left,canoe__n02951358_537,sail__s11
testConsent,Bird,hummingbird,owl,left,right,humming__n01833805_2650,owl__n01625562_887
testConsent,Dogs,chihuahua,malamute,right,left,chihuahua__n02085620_7436_obj1,malamute__n02110063_4103_obj1
testConsent,Fish,needlefish,sturgeon,left,right,aneed__1,sturgeon__1
testConsent,Cats,persian,siamese,right,left,persian__n02123394_2709,siamese__n02123597_4931
testConsent,Planes,delta,fighter,right,left,delta__n03174079_4062,fighter__a2
testConsent,Fish,angelfish,clownfish,left,right,angel__1,clown__-fish-picture-1
testConsent,Cats,manx,tortishell,left,right,manx__n02124484_1766,tort__n02123242_1192
testConsent,Dogs,chihuahua,mastiff,right,left,chihuahua__n02085620_7436_obj1,mastiff__n02108254_10310_obj1
testConsent,Boats,cruiseliner,galleon,right,left,cruise__n10,galleon__n03411339_6119
testConsent,Boats,cruiseliner,icebreaker,left,right,cruise__n10,icebreaker__n03556992_1963
testConsent,Fish,clownfish,needlefish,left,right,clown__-fish-picture-1,aneed__1
testConsent,Bird,cockateel,hen,left,right,cockateel__n01819734_12942,hen__n01514859_195
testConsent,Cars,sedan,sportscar,left,right,sedan__n04166281_73,sports__n04285008_573
testConsent,Bird,hawk,hummingbird,left,right,hawk__n01605630_6816,humming__n01833805_2650
testConsent,Cats,angora,sphynx,left,right,angora__n02123478_12328,spyhnx__hairless
testConsent,Trains,monorail,tram,right,left,mono__monorail3,tram__n04335435_329
testConsent,Cats,egyptian,tortishell,left,right,egyptian__n02124075_10694,tort__n02123242_1192
testConsent,Cars,mini,sedan,left,right,minin03770085_184,sedan__n04166281_73
testConsent,Planes,biplane,glider,right,left,biplane__n02842573_14961_obj1,glider__n03439814_16594
testConsent,Bird,hawk,swan,left,right,hawk__n01605630_6816,swan__7
testConsent,Planes,airliner,glider,right,left,airliner__a2,glider__n03439814_16594
testConsent,Planes,airliner,seaplane,left,right,airliner__a2,seaplane__n04160586_21255_obj1
testConsent,Bird,ostrich,owl,left,right,ost__8,owl__n01625562_887
testConsent,Cars,limousine,stationwagon,right,left,limo__n03670208_78,wagon__n02814533_330
testConsent,Trains,inclinerailway,trolley,right,left,incline__loookout-mt,trolley__t1
testConsent,Dogs,mastiff,schnauzer,left,right,mastiff__n02108254_10310_obj1,schnauzer__n02096756_13469_obj1
testConsent,Cats,abyssinian,sphynx,left,right,abyss__n02124313_595,spyhnx__hairless
testConsent,Bird,hen,swan,left,right,hen__n01514859_195,swan__7
testConsent,Trains,bullettrain,commutertrain,left,right,bullet__n02917067_513,commuter__n03078802_567
testConsent,Bird,cockateel,ostrich,right,left,cockateel__n01819734_12942,ost__8
testConsent,Cats,egyptian,persian,left,right,egyptian__n02124075_10694,persian__n02123394_2709
testConsent,Bird,hen,ostrich,right,left,hen__n01514859_195,ost__8
testConsent,Dogs,komondor,mastiff,left,right,komondor__n02105505_46_obj1,mastiff__n02108254_10310_obj1
testConsent,Boats,aircraftcarrier,galleon,left,right,carriern02687172_1204,galleon__n03411339_6119
testConsent,Boats,canoe,rowboat,left,right,canoe__n02951358_537,row__r5
testConsent,Cats,angora,siamese,right,left,angora__n02123478_12328,siamese__n02123597_4931
testConsent,Boats,galleon,rowboat,right,left,galleon__n03411339_6119,row__r5
testConsent,Bird,hummingbird,vulture,left,right,humming__n01833805_2650,vulture__n01616318_2501
testConsent,Bird,owl,swan,left,right,owl__n01625562_887,swan__7
