subjCode,Category,Subcategory1,Subcategory2,firstStimPosition,secondStimPosition,pic1,pic2
testDemog2,Boats,canoe,rowboat,right,left,canoe__n02951358_2402,row__r7
testDemog2,Bird,cockateel,ostrich,right,left,cockateel__n01819734_10081,ost__n01518878_8812
testDemog2,Trains,subway,tram,right,left,subway__n04349306_700,tram__n04335435_490
testDemog2,Fish,needlefish,pufferfish,right,left,aneed__3,puffer__n02655020_117
testDemog2,Fish,catfish,sturgeon,right,left,catfish__2,sturgeon__n02640242_103
testDemog2,Planes,airliner,stealth,right,left,airliner__n02690373_2941_obj1,stealth__n04308084_1399_obj1
testDemog2,Fish,pufferfish,sturgeon,left,right,puffer__n02655020_117,sturgeon__n02640242_103
testDemog2,Boats,canoe,icebreaker,right,left,canoe__n02951358_2402,icebreaker__n03556992_2173
testDemog2,Trains,monorail,tram,right,left,mono__600-monorail,tram__n04335435_490
testDemog2,Dogs,chihuahua,welsh,right,left,chihuahua__n02085620_1341_obj1,welsh__n02112826_1051_obj1
testDemog2,Cats,persian,tortishell,right,left,persian__n02123394_2124,tort__n02123242_3408
testDemog2,Bird,hummingbird,swan,left,right,humming__n01833805_592,swan__n01858441_8923
testDemog2,Planes,delta,fighter,right,left,delta__n03174079_7718,fighter__n03335030_17801_obj1
testDemog2,Dogs,mastiff,schipperke,right,left,mastiff__n02108254_10037_obj1,schipperke__n02104365_9401_obj1
testDemog2,Cars,antique,mini,right,left,antique__n03777568_244,mini__n03770085_530
testDemog2,Cats,egyptian,manx,left,right,egyptian__n02124075_5067,manx__2
testDemog2,Trains,monorail,subway,left,right,mono__600-monorail,subway__n04349306_700
testDemog2,Cars,racecar,stationwagon,right,left,racing__n04037443_63,wagon__n02814533_80
testDemog2,Boats,canoe,galleon,left,right,canoe__n02951358_2402,galleon__n03411339_6291
testDemog2,Planes,airliner,biplane,left,right,airliner__n02690373_2941_obj1,biplane__n02842573_9984_obj1
testDemog2,Bird,cockateel,hen,right,left,cockateel__n01819734_10081,hen__n01514859_1689
testDemog2,Cars,limousine,stationwagon,right,left,limo__n03670208_745,wagon__n02814533_80
testDemog2,Cars,mini,minivan,left,right,mini__n03770085_530,mvan__n03770679_360
testDemog2,Cats,abyssinian,persian,right,left,abyss__n02124313_1541,persian__n02123394_2124
testDemog2,Planes,glider,gyroplane,left,right,glider__n03439814_5694,gyro__n02759387_16551_obj1
testDemog2,Bird,hawk,hen,right,left,hawk__5,hen__n01514859_1689
testDemog2,Boats,galleon,icebreaker,left,right,galleon__n03411339_6291,icebreaker__n03556992_2173
testDemog2,Bird,hawk,swan,left,right,hawk__5,swan__n01858441_8923
testDemog2,Trains,bullettrain,commutertrain,right,left,bullet__n02917067_543,commuter__n03078802_645
testDemog2,Cars,minivan,racecar,left,right,mvan__n03770679_360,racing__n04037443_63
testDemog2,Boats,galleon,rowboat,right,left,galleon__n03411339_6291,row__r7
testDemog2,Cats,angora,persian,left,right,angora__n02123478_5473,persian__n02123394_2124
testDemog2,Cars,antique,sportscar,right,left,antique__n03777568_244,sports__n04285008_39
testDemog2,Planes,fighter,gyroplane,right,left,fighter__n03335030_17801_obj1,gyro__n02759387_16551_obj1
testDemog2,Boats,cruiseliner,sailboat,left,right,cruise__n4,sail__s12
testDemog2,Fish,clownfish,needlefish,right,left,clown__fish4,aneed__3
testDemog2,Trains,subway,trolley,right,left,subway__n04349306_700,trolley__n04335435_3415
testDemog2,Fish,catfish,goldfish,right,left,catfish__2,gold__n01443537_244
testDemog2,Boats,cruiseliner,icebreaker,right,left,cruise__n4,icebreaker__n03556992_2173
testDemog2,Fish,angelfish,goldfish,left,right,angel__n02605936_581,gold__n01443537_244
testDemog2,Planes,glider,seaplane,right,left,glider__n03439814_5694,seaplane__n04160586_23138_obj1
