subjCode,Category,Subcategory1,Subcategory2,firstStimPosition,secondStimPosition,pic1,pic2
testDemog,Dogs,pug,schipperke,right,left,pug__n02110958_12350_obj1,schipperke__n02104365_67_obj1
testDemog,Dogs,mastiff,schipperke,right,left,mastiff__n02108254_7928_obj1,schipperke__n02104365_67_obj1
testDemog,Planes,glider,seaplane,left,right,glider__n03439814_12866,seaplane__n04160586_16578_obj1
testDemog,Cats,angora,siamese,left,right,angora__n02123478_40,siamese__n02123597_14267
testDemog,Planes,gyroplane,seaplane,left,right,gyro__n02759387_17277_obj1,seaplane__n04160586_16578_obj1
testDemog,Trains,bullettrain,freighttrain,right,left,bullet__n02917067_200,freight__n03394480_2083
testDemog,Trains,monorail,trolley,left,right,mono__22be0c1201a8376f8db098d604d1_grande,trolley__n04335435_161
testDemog,Dogs,malamute,schnauzer,left,right,malamute__n02110063_1994_obj1,schnauzer__n02096756_7246_obj1
testDemog,Dogs,chihuahua,schnauzer,left,right,chihuahua__n02085620_4410_obj1,schnauzer__n02096756_7246_obj1
testDemog,Boats,cruiseliner,rowboat,left,right,cruise__n03141327_735,row__n03199901_652
testDemog,Fish,flyingfish,goldfish,right,left,flying__1,gold__1
testDemog,Planes,biplane,fighter,right,left,biplane__n02842573_702_obj1,fighter__n03335030_2892_obj1
testDemog,Fish,catfish,sturgeon,right,left,catfish__1,sturgeon__1
testDemog,Fish,flyingfish,sturgeon,left,right,flying__1,sturgeon__1
testDemog,Bird,cockateel,vulture,left,right,cockateel__n01819734_13066,vulture__n01616318_3641
testDemog,Dogs,komondor,mastiff,right,left,komondor__n02105505_3050_obj1,mastiff__n02108254_7928_obj1
testDemog,Cars,limousine,sedan,left,right,limo__n03670208_911,sedan__n04166281_440
testDemog,Trains,bullettrain,commutertrain,left,right,bullet__n02917067_200,commuter__n03078802_290
testDemog,Cars,minivan,sportscar,left,right,mvan__n03770679_460,sports__n04285008_79
testDemog,Dogs,chihuahua,welsh,left,right,chihuahua__n02085620_4410_obj1,welsh__n02112826_550_obj1
testDemog,Bird,cockateel,ostrich,right,left,cockateel__n01819734_13066,ost__9
testDemog,Boats,aircraftcarrier,icebreaker,right,left,carriern02687172_256,icebreaker__i8
testDemog,Cars,sedan,stationwagon,right,left,sedan__n04166281_440,wagon__n02814533_105
testDemog,Dogs,schnauzer,welsh,right,left,schnauzer__n02096756_7246_obj1,welsh__n02112826_550_obj1
testDemog,Cars,mini,sedan,left,right,mini__n03770085_940,sedan__n04166281_440
testDemog,Fish,catfish,goldfish,left,right,catfish__1,gold__1
testDemog,Fish,angelfish,flyingfish,right,left,angel__1,flying__1
testDemog,Bird,cockateel,hummingbird,left,right,cockateel__n01819734_13066,humming__n01833805_2891
testDemog,Bird,hawk,owl,right,left,hawk__6,owl__n01625562_3242
testDemog,Cats,abyssinian,manx,right,left,abyss__n02124313_780,manx__n02124484_8341
testDemog,Planes,delta,gyroplane,left,right,delta__n03174079_9078,gyro__n02759387_17277_obj1
testDemog,Dogs,schipperke,welsh,left,right,schipperke__n02104365_67_obj1,welsh__n02112826_550_obj1
testDemog,Bird,cockateel,hawk,right,left,cockateel__n01819734_13066,hawk__6
testDemog,Boats,aircraftcarrier,canoe,left,right,carriern02687172_256,canoe__n02951358_4496
testDemog,Boats,aircraftcarrier,rowboat,left,right,carriern02687172_256,row__n03199901_652
testDemog,Boats,rowboat,sailboat,left,right,row__n03199901_652,sail__s7
testDemog,Cats,egyptian,siamese,right,left,egyptian__n02124075_191,siamese__n02123597_14267
testDemog,Cats,abyssinian,persian,left,right,abyss__n02124313_780,persian__n02123394_4612
testDemog,Cats,abyssinian,angora,left,right,abyss__n02124313_780,angora__n02123478_40
testDemog,Cars,antique,limousine,right,left,antique__n03777568_249,limo__n03670208_911
testDemog,Trains,subway,tram,right,left,subway__n04349306_584,tram__n04335435_451
testDemog,Cars,antique,mini,left,right,antique__n03777568_249,mini__n03770085_940
testDemog,Bird,ostrich,owl,right,left,ost__9,owl__n01625562_3242
testDemog,Bird,hen,swan,right,left,hen__n01514859_2221,swan__n01858441_4857
testDemog,Cats,angora,tortishell,right,left,angora__n02123478_40,tort__tshell1
testDemog,Cars,antique,stationwagon,right,left,antique__n03777568_249,wagon__n02814533_105
testDemog,Cats,abyssinian,sphynx,right,left,abyss__n02124313_780,spyhnx__spyhnx-Cat
testDemog,Bird,cockateel,owl,left,right,cockateel__n01819734_13066,owl__n01625562_3242
testDemog,Cats,siamese,sphynx,right,left,siamese__n02123597_14267,spyhnx__spyhnx-Cat
testDemog,Dogs,mastiff,welsh,right,left,mastiff__n02108254_7928_obj1,welsh__n02112826_550_obj1
testDemog,Fish,clownfish,pufferfish,left,right,clown__-fish-picture-1,puffer__1
testDemog,Fish,catfish,flyingfish,right,left,catfish__1,flying__1
testDemog,Fish,clownfish,sturgeon,right,left,clown__-fish-picture-1,sturgeon__1
testDemog,Boats,icebreaker,rowboat,left,right,icebreaker__i8,row__n03199901_652
testDemog,Bird,owl,swan,left,right,owl__n01625562_3242,swan__n01858441_4857
testDemog,Dogs,malamute,pug,right,left,malamute__n02110063_1994_obj1,pug__n02110958_12350_obj1
testDemog,Boats,battleship,icebreaker,right,left,battle__b7,icebreaker__i8
