subjCode,Category,Subcategory1,Subcategory2,firstStimPosition,secondStimPosition,pic1,pic2
testSUbjReal,Cats,egyptian,persian,right,left,egyptian__n02124075_8383,persian__n02123394_2429
testSUbjReal,Trains,commutertrain,subway,left,right,commuter__n03078802_573,subway__n04349306_473
testSUbjReal,Cars,sedan,stationwagon,left,right,sedan__n04166281_784,wagon__n02814533_248
testSUbjReal,Dogs,komondor,pug,left,right,komondor__n02105505_4115_obj1,pug__n02110958_14996_obj1
testSUbjReal,Planes,airliner,fighter,right,left,airliner__n02690373_6285_obj1,fighter__n03335030_2892_obj1
testSUbjReal,Bird,cockateel,owl,right,left,cockateel__6n01819734_2414,owl__n01625562_1417
testSUbjReal,Bird,hen,owl,right,left,hen__n01514859_3061,owl__n01625562_1417
testSUbjReal,Planes,airliner,glider,left,right,airliner__n02690373_6285_obj1,glider__n03439814_12866
testSUbjReal,Bird,hawk,vulture,right,left,hawk__n01605630_14899,vulture__n01616318_2262
testSUbjReal,Boats,cruiseliner,icebreaker,left,right,cruise__n2,icebreaker__i2
testSUbjReal,Fish,clownfish,needlefish,left,right,clown__fish11,aneed__6
testSUbjReal,Boats,aircraftcarrier,battleship,left,right,carriern02687172_811,battle__n02812201_1111
testSUbjReal,Trains,monorail,tram,left,right,mono__monorail5,tram__n04335435_347
testSUbjReal,Dogs,mastiff,schipperke,right,left,mastiff__n02108254_10209_obj1,schipperke__n02104365_6732_obj1
testSUbjReal,Planes,airliner,gyroplane,left,right,airliner__n02690373_6285_obj1,gyro__n02759387_17277_obj1
testSUbjReal,Cars,limousine,sedan,right,left,limo__n03670208_21,sedan__n04166281_784
testSUbjReal,Dogs,chihuahua,schipperke,right,left,chihuahua__n02085620_4016_obj1,schipperke__n02104365_6732_obj1
testSUbjReal,Planes,fighter,seaplane,left,right,fighter__n03335030_2892_obj1,seaplane__n04160586_16578_obj1
testSUbjReal,Boats,aircraftcarrier,canoe,right,left,carriern02687172_811,canoe__n02951358_1212
testSUbjReal,Dogs,mastiff,pug,left,right,mastiff__n02108254_10209_obj1,pug__n02110958_14996_obj1
testSUbjReal,Dogs,chihuahua,mastiff,right,left,chihuahua__n02085620_4016_obj1,mastiff__n02108254_10209_obj1
testSUbjReal,Fish,clownfish,flyingfish,right,left,clown__fish11,flying__2
testSUbjReal,Bird,hen,hummingbird,left,right,hen__n01514859_3061,humming__n01833805_1795
testSUbjReal,Planes,biplane,glider,right,left,biplane__n02842573_702_obj1,glider__n03439814_12866
testSUbjReal,Bird,hummingbird,ostrich,right,left,humming__n01833805_1795,ost__6
testSUbjReal,Boats,galleon,rowboat,left,right,galleon__n03411339_5514,row__r4
testSUbjReal,Planes,biplane,gyroplane,left,right,biplane__n02842573_702_obj1,gyro__n02759387_17277_obj1
testSUbjReal,Dogs,malamute,mastiff,left,right,malamute__n02110063_14895_obj1,mastiff__n02108254_10209_obj1
testSUbjReal,Fish,catfish,flyingfish,left,right,catfish__5,flying__2
testSUbjReal,Trains,bullettrain,subway,left,right,bullet__n02917067_663,subway__n04349306_473
testSUbjReal,Trains,bullettrain,commutertrain,left,right,bullet__n02917067_663,commuter__n03078802_573
testSUbjReal,Boats,canoe,rowboat,left,right,canoe__n02951358_1212,row__r4
testSUbjReal,Planes,glider,gyroplane,right,left,glider__n03439814_12866,gyro__n02759387_17277_obj1
testSUbjReal,Trains,freighttrain,monorail,right,left,freight__n03394480_697,mono__monorail5
