subjCode,Category,Subcategory1,Subcategory2,firstStimPosition,secondStimPosition,pic1,pic2
testSafari,Fish,catfish,flyingfish,left,right,catfish__n02517442_850,flying__n02550460_5841
testSafari,Fish,flyingfish,needlefish,right,left,flying__n02550460_5841,aneed__n02549989_328
testSafari,Dogs,chihuahua,malamute,right,left,chihuahua__n02085620_3843_obj1,malamute__n02110063_210_obj1
testSafari,Fish,angelfish,flyingfish,right,left,angel__n02605936_860,flying__n02550460_5841
testSafari,Boats,canoe,rowboat,left,right,canoe__n02951358_537,row__r5
testSafari,Trains,bullettrain,freighttrain,left,right,bullet__n02917067_71,freight__n03394480_943
testSafari,Fish,angelfish,sturgeon,right,left,angel__n02605936_860,sturgeon__n02640242_1056
testSafari,Bird,ostrich,swan,right,left,ost__7,swan__n01858441_6455
testSafari,Cats,egyptian,tortishell,left,right,egyptian__n02124075_10034,tort__n02123242_249
testSafari,Planes,delta,gyroplane,right,left,delta__n03174079_4062,gyro__n02759387_17666_obj1
testSafari,Boats,aircraftcarrier,galleon,right,left,carriern02687172_1204,galleon__n03411339_6119
testSafari,Fish,angelfish,goldfish,left,right,angel__n02605936_860,gold__n01443537_597
testSafari,Trains,monorail,trolley,right,left,mono__las-vegas-monorail5,trolley__n04335435_3062
testSafari,Trains,bullettrain,inclinerailway,right,left,bullet__n02917067_71,incline__Chattanooga-incline__-Railway-630x420
testSafari,Cars,limousine,mini,right,left,limo__n03670208_1086,mini__n03770085_949
testSafari,Boats,galleon,rowboat,right,left,galleon__n03411339_6119,row__r5
testSafari,Cars,mini,sportscar,right,left,mini__n03770085_949,sports__n04285008_312
testSafari,Dogs,pug,welsh,left,right,pug__n02110958_8627_obj1,welsh__n02112826_5983_obj1
testSafari,Planes,airliner,biplane,left,right,airliner__a2,biplane__n02842573_14961_obj1
testSafari,Bird,cockateel,swan,left,right,cockateel__an01819734_5206,swan__n01858441_6455
testSafari,Bird,hawk,owl,right,left,hawk__n01605630_3599,owl__n01625562_2266
testSafari,Dogs,komondor,malamute,left,right,komondor__n02105505_2489_obj1,malamute__n02110063_210_obj1
testSafari,Cars,antique,sedan,right,left,antique__n03777568_242,sedan__n04166281_739
testSafari,Planes,biplane,seaplane,left,right,biplane__n02842573_14961_obj1,seaplane__n04160586_21255_obj1
testSafari,Cars,minivan,sportscar,right,left,mvan__n03770679_461,sports__n04285008_312
testSafari,Bird,hawk,vulture,left,right,hawk__n01605630_3599,vulture__1
testSafari,Dogs,chihuahua,pug,right,left,chihuahua__n02085620_3843_obj1,pug__n02110958_8627_obj1
testSafari,Fish,needlefish,pufferfish,left,right,aneed__n02549989_328,puffer__n02655020_858
testSafari,Boats,icebreaker,sailboat,right,left,icebreaker__n03556992_1963,sail__s11
testSafari,Trains,inclinerailway,subway,right,left,incline__Chattanooga-incline__-Railway-630x420,subway__n04349306_923
testSafari,Cats,abyssinian,persian,left,right,abyss__n02124313_569,persian__n02123394_2456
testSafari,Cats,siamese,tortishell,right,left,siamese__n02123597_4893,tort__n02123242_249
testSafari,Bird,hawk,hummingbird,right,left,hawk__n01605630_3599,humming__n01833805_13063
testSafari,Dogs,komondor,mastiff,left,right,komondor__n02105505_2489_obj1,mastiff__n02108254_1301_obj1
testSafari,Dogs,schipperke,welsh,left,right,schipperke__n02104365_9552_obj1,welsh__n02112826_5983_obj1
