subjCode,Category,Subcategory1,Subcategory2,firstStimPosition,secondStimPosition,pic1,pic2
testSubj2,Cars,antique,racecar,left,right,antique__n03777568_242,racing__n04037443_232
testSubj2,Bird,hummingbird,vulture,right,left,humming__2,vulture__3
testSubj2,Cars,minivan,racecar,left,right,mvan__n03770679_461,racing__n04037443_232
testSubj2,Cats,abyssinian,egyptian,right,left,abyss__n02124313_105,egyptian__n02124075_8383
testSubj2,Boats,battleship,icebreaker,right,left,battle__n02812201_334,icebreaker__n03556992_2352
testSubj2,Bird,hummingbird,owl,left,right,humming__2,owl__9
testSubj2,Bird,hen,vulture,right,left,hen__2,vulture__3
testSubj2,Fish,catfish,sturgeon,left,right,catfish__8,sturgeon__6
testSubj2,Cats,abyssinian,sphynx,right,left,abyss__n02124313_105,spyhnx__3
testSubj2,Fish,flyingfish,pufferfish,right,left,flying__7,puffer__4
testSubj2,Planes,biplane,gyroplane,right,left,biplane__n02842573_702_obj1,gyro__n02759387_17277_obj1
testSubj2,Planes,delta,fighter,left,right,delta__n03174079_9078,fighter__n03335030_2892_obj1
testSubj2,Dogs,schipperke,welsh,right,left,schipperke__n02104365_10606_obj1,welsh__n02112826_9485_obj1
testSubj2,Cats,abyssinian,angora,left,right,abyss__n02124313_105,angora__n02123478_7736
testSubj2,Trains,tram,trolley,left,right,tram__n04335435_235,trolley__n04469813_1363
testSubj2,Fish,flyingfish,needlefish,right,left,flying__7,aneed__9
testSubj2,Planes,glider,stealth,right,left,glider__n03439814_12866,stealth__n04308084_2038_obj1
testSubj2,Boats,aircraftcarrier,icebreaker,left,right,carriern02687172_1509,icebreaker__n03556992_2352
testSubj2,Planes,delta,gyroplane,left,right,delta__n03174079_9078,gyro__n02759387_17277_obj1
testSubj2,Planes,glider,gyroplane,left,right,glider__n03439814_12866,gyro__n02759387_17277_obj1
testSubj2,Bird,hawk,owl,left,right,hawk__2,owl__9
testSubj2,Cats,angora,egyptian,left,right,angora__n02123478_7736,egyptian__n02124075_8383
testSubj2,Bird,hawk,vulture,right,left,hawk__2,vulture__3
testSubj2,Dogs,schipperke,schnauzer,left,right,schipperke__n02104365_10606_obj1,schnauzer__n02096756_6747_obj1
testSubj2,Planes,seaplane,stealth,left,right,seaplane__n04160586_16578_obj1,stealth__n04308084_2038_obj1
testSubj2,Boats,aircraftcarrier,sailboat,left,right,carriern02687172_1509,sail__s5
testSubj2,Cats,angora,sphynx,left,right,angora__n02123478_7736,spyhnx__3
testSubj2,Trains,freighttrain,subway,left,right,freight__n03394480_209,subway__n04349306_194
testSubj2,Dogs,chihuahua,malamute,left,right,chihuahua__n02085620_3942_obj1,malamute__n02110063_1034_obj1
testSubj2,Fish,clownfish,goldfish,right,left,clown__fish1,gold__5
testSubj2,Boats,icebreaker,sailboat,left,right,icebreaker__n03556992_2352,sail__s5
testSubj2,Boats,icebreaker,rowboat,left,right,icebreaker__n03556992_2352,row__r8
testSubj2,Fish,catfish,clownfish,left,right,catfish__8,clown__fish1
testSubj2,Trains,bullettrain,commutertrain,right,left,bullet__n02917067_469,commuter__n03078802_418
testSubj2,Boats,cruiseliner,rowboat,left,right,cruise__n5,row__r8
testSubj2,Trains,subway,tram,right,left,subway__n04349306_194,tram__n04335435_235
testSubj2,Dogs,chihuahua,schnauzer,left,right,chihuahua__n02085620_3942_obj1,schnauzer__n02096756_6747_obj1
testSubj2,Dogs,mastiff,schipperke,left,right,mastiff__n02108254_6555_obj1,schipperke__n02104365_10606_obj1
testSubj2,Boats,canoe,galleon,left,right,canoe__n02951358_2654,galleon__n03411339_6447
testSubj2,Cars,mini,minivan,right,left,mini__n03770085_949,mvan__n03770679_461
testSubj2,Planes,airliner,delta,right,left,airliner__n02690373_6285_obj1,delta__n03174079_9078
testSubj2,Dogs,pug,schipperke,right,left,pug__n02110958_353_obj1,schipperke__n02104365_10606_obj1
testSubj2,Dogs,mastiff,welsh,left,right,mastiff__n02108254_6555_obj1,welsh__n02112826_9485_obj1
testSubj2,Bird,hen,swan,left,right,hen__2,swan__2
testSubj2,Cars,minivan,stationwagon,left,right,mvan__n03770679_461,wagon__n02814533_211
testSubj2,Fish,angelfish,needlefish,right,left,angel__4,aneed__9
testSubj2,Dogs,pug,schnauzer,left,right,pug__n02110958_353_obj1,schnauzer__n02096756_6747_obj1
testSubj2,Bird,cockateel,swan,right,left,cockateel__2,swan__2
testSubj2,Dogs,malamute,welsh,right,left,malamute__n02110063_1034_obj1,welsh__n02112826_9485_obj1
testSubj2,Trains,bullettrain,subway,left,right,bullet__n02917067_469,subway__n04349306_194
testSubj2,Cars,limousine,racecar,right,left,limo__n03670208_1086,racing__n04037443_232
